Titles,the_fork_ratings,the_fork_prices,the_fork_comments,Indirizzo,CAP,Città,lng,lat,nearest_reference,data_source
Italian Bistrot & Pizzeria,4.5/5,Prezzo medio 25€,115 recensioni,Corso Giuseppe Zanardelli,25083,Gardone Riviera,10.55799486,45.62009093,bagolino,the_fork
Il Fiore di Zucca,4.5/5,Prezzo medio 40€,576 recensioni,"Via Trieste, 16",25083,Gardone Riviera,10.55799486,45.62009093,bagolino,the_fork
Corte del Mago,4.8/5,Prezzo medio 50€,795 recensioni,"Via Ostiglia, 3",25134,Brescia,10.21910323,45.53993052,pisogne,the_fork
Barrique,4.3/5,Prezzo medio 22€,1.103 recensioni,"Contrada del Carmine, 47",25122,Brescia,10.21910323,45.53993052,pisogne,the_fork
Nuovo Inizio,4.3/5,Prezzo medio 30€,146 recensioni,"Via Conicchio, 45",25136,Brescia,10.21910323,45.53993052,pisogne,the_fork
Asanka African,4.6/5,Prezzo medio 15€,46 recensioni,"Via Pusterla, 4b",25128,Brescia,10.21910323,45.53993052,pisogne,the_fork
QBR Quei Bravi Ragazzi,4.6/5,Prezzo medio 30€,366 recensioni,"Via Paolo Veronese, 28 (ingresso da via Botticelli, fronte questura)",25124,Brescia,10.21910323,45.53993052,pisogne,the_fork
L'officina - Drink & Restaurant,4.6/5,Prezzo medio 25€,433 recensioni,"Via S. Faustino, 63",25122,Brescia,10.21910323,45.53993052,pisogne,the_fork
Pizzomunno,4.4/5,Prezzo medio 19€,22 recensioni,"Vicolo Cantine, 8",25049,Iseo,10.05004398,45.65982928,pisogne,the_fork
Locanda degli Artisti,4.7/5,Prezzo medio 23€,138 recensioni,"Via Monte Grappa, 6",25050,Iseo,10.05004398,45.65982928,pisogne,the_fork
Bistrot Domenighini al Landò,4.8/5,Prezzo medio 24€,53 recensioni,"Via Stazione, 1",25047,Darfo Boario Terme,10.18048381,45.88347362,angolo terme,the_fork
Alisani Bistrò,4.7/5,Prezzo medio 25€,280 recensioni,"Via Leno, 6",25021,Bagnolo Mella,10.17928028,45.42902132,pisogne,the_fork
Ristorante Venturelli,4.8/5,Prezzo medio 28€,252 recensioni,"Via Roma, 9",25042,Borno,10.20580785,45.94679424,borno,the_fork
Hollywood Cafè,3.8/5,Prezzo medio 20€,54 recensioni,"Via Gardesana, 87",25080,Prevalle,10.42121638,45.54705532,collio,the_fork
Dina,4.8/5,Prezzo medio 80€,426 recensioni,"Via S. Croce, 1",25064,Gussago,10.15314832,45.59242495,pisogne,the_fork
Casa dei Pescatori,4.6/5,Prezzo medio 35€,1.002 recensioni,Via XXV Aprile 71,25019,Sirmione,10.60946835,45.46231487,bagolino,the_fork
MoS Ristorante,4.7/5,Prezzo medio 55€,215 recensioni,"Via Porto Vecchio, 28",25015,Desenzano del Garda,10.5415883,45.46858257,bagolino,the_fork
Agriturismo la Freschera,4.6/5,Prezzo medio 25€,927 recensioni,Via Cascina Invillo,24060,Parzanica,10.03589843,45.73811128,pisogne,the_fork
Vistrò - Wine & Bistrò,4.7/5,Prezzo medio 30€,50 recensioni,"Via IV Novembre, 29, Bergamo",24029,Vertova,9.84987255,45.80858625,selvino,the_fork
Agriturismo Ippolita Lucchetti,4.6/5,Prezzo medio 35€,1.064 recensioni,"Via Valle Rossa, 104",24020,Cene,9.82557194,45.77943252,selvino,the_fork
La Baita,4.8/5,Prezzo medio 30€,400 recensioni,"Via Cerrete, 8",24060,Solto Collina,10.02592875,45.78223969,pisogne,the_fork
Riccardo Restaurant,4.6/5,Prezzo medio 37€,532 recensioni,"Via Lantieri, 16",24067,Sarnico,9.95835303,45.66799802,pisogne,the_fork
Osteria Olio Birtolo,4.6/5,Prezzo medio 45€,197 recensioni,"Via Broseta, 3",24122,Bergamo,9.66842453,45.69441368,selvino,the_fork
Rush Ristopub Live Music,4.2/5,Prezzo medio 20€,298 recensioni,"Via Antonia Ponti, 22",24126,Bergamo,9.66842453,45.69441368,selvino,the_fork
Sushify Restaurant,5.0/5,Prezzo medio 35€,3 recensioni,"Via Angelo Maj, 18",24121,Bergamo,9.66842453,45.69441368,selvino,the_fork
Gambero Rosso,4.8/5,Prezzo medio 40€,132 recensioni,"Via della Fara, 17",24129,Bergamo,9.66842453,45.69441368,selvino,the_fork
Dal Carlo,4.5/5,Prezzo medio 30€,20 recensioni,"Via S. Lazzaro, 8",24122,Bergamo,9.66842453,45.69441368,selvino,the_fork
Il Ducale,4.4/5,Prezzo medio 40€,22 recensioni,"Via Costantino Beltrami, 12/B",24129,Bergamo,9.66842453,45.69441368,selvino,the_fork
Un Tavolino sullo Stretto,4.8/5,Prezzo medio 30€,118 recensioni,Via F. Corridoni 83,24124,Bergamo,9.66842453,45.69441368,selvino,the_fork
Tausami,4.6/5,Prezzo medio 30€,200 recensioni,"Via Zambonate, 69",24122,Bergamo,9.66842453,45.69441368,selvino,the_fork
Alba,4.8/5,Prezzo medio 35€,252 recensioni,"Via Don Luigi Palazzolo, 38",24122,Bergamo,9.66842453,45.69441368,selvino,the_fork
A Tavola da Patrizia,4.0/5,Prezzo medio 35€,400 recensioni,"Via Giacomo Radini Tedeschi, 28",24124,Bergamo,9.66842453,45.69441368,selvino,the_fork
Villa Elena - Ristorante Enrico Bartolini,4.7/5,Prezzo medio 120€,240 recensioni,"Via Monte Bastia, 6",24129,Bergamo,9.66842453,45.69441368,selvino,the_fork
La Cucina Relais San Vigilio,4.6/5,Prezzo medio 60€,995 recensioni,"Via al Castello, 7",24129,Bergamo,9.66842453,45.69441368,selvino,the_fork
Lostricheria,4.4/5,Prezzo medio 80€,22 recensioni,"Via Sant'Alessandro, 58",24122,Bergamo,9.66842453,45.69441368,selvino,the_fork
Laboratorio l'Emporio,4.3/5,Prezzo medio 30€,146 recensioni,"Via Dante, 9/b",25047,Sale Marasino,10.11288737,45.71409232,pisogne,the_fork
Arte&Gusto,4.5/5,Prezzo medio 30€,576 recensioni,"Via della Resistenza, 34",24069,Trescore Balneario,9.84277423,45.69508834,selvino,the_fork
Tenuta Ambrosini Agriturismo cantina in franciacorta,3.9/5,Prezzo medio 60€,68 recensioni,"Via della Pace, 60",25046,Cazzago San Martino,10.02501501,45.58101331,pisogne,the_fork
Trattoria Aurora,4.3/5,Prezzo medio 18€,699 recensioni,"Via Papa Giovanni XXIII, 40",24065,Lovere,10.07160122,45.81288555,pisogne,the_fork
Cronox,4.8/5,Prezzo medio 18€,137 recensioni,"Via Rin, 325",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
Mota Restaurant&Wine,4.7/5,Prezzo medio 40€,152 recensioni,"Via Ostaria, 11",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
Posta Restaurant,4.6/5,Prezzo medio 35€,118 recensioni,"Via Plaza dal Comun, 67",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
Cristallo,4.6/5,Prezzo medio 30€,853 recensioni,"Via Rin, 232",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
San Giovanni,4.6/5,Prezzo medio 20€,241 recensioni,"Via Florin, 46",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
Al Persef,4.6/5,Prezzo medio 90€,2.209 recensioni,"Via Saroch, 1272",23041,Livigno,10.13481042,46.53867334,livigno,the_fork
La Piöda,4.6/5,Prezzo medio 40€,532 recensioni,"Via Saroch, 604",23041,Livigno,10.13481042,46.53867334,livigno,the_fork
Valtellina,4.7/5,Prezzo medio 30€,50 recensioni,"Via Saroch, 350",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
La Grolla Livigno,4.3/5,Prezzo medio 18€,699 recensioni,"Via Plan, 307",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
Il Cenacolo,4.8/5,Prezzo medio 25€,795 recensioni,"Via Pedrana, 416",23041,Livigno,10.13481042,46.53867334,livigno,the_fork
Amerikan Livigno,4.5/5,Prezzo medio 30€,20 recensioni,"Via Florin, 77",23030,Livigno,10.13481042,46.53867334,livigno,the_fork
